               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.039839,           0.0034052,                   0,            0.064236,             0.77623,             0.59459,             0.76224,             0.21437,            0.043054,           0.0019822,                   0,             0.06508,           0.0058205,           0.0058205,           0.0058205
                  20,            0.040666,           0.0028254,                   0,            0.063107,             0.68565,             0.58964,             0.71715,             0.21568,            0.043272,           0.0019239,                   0,            0.065015,           0.0054631,           0.0054631,           0.0054631
                  21,            0.041475,            0.002613,                   0,            0.063283,              0.5516,             0.89189,             0.74469,             0.25089,            0.042984,           0.0019253,                   0,             0.06486,           0.0051099,           0.0051099,           0.0051099
                  22,            0.041259,           0.0027968,                   0,            0.064003,             0.60301,              0.7027,             0.70753,             0.21106,            0.043016,           0.0019801,                   0,            0.064172,           0.0047639,           0.0047639,           0.0047639
                  23,            0.040967,           0.0030745,                   0,            0.098704,             0.65591,             0.56673,             0.66581,             0.23654,            0.042824,           0.0025012,                   0,            0.065004,           0.0044279,           0.0044279,           0.0044279
                  24,            0.040097,           0.0033758,                   0,            0.067559,             0.74153,             0.69797,             0.71415,             0.20432,            0.043052,           0.0024606,                   0,            0.075283,           0.0041045,           0.0041045,           0.0041045
                  25,            0.040461,           0.0035025,                   0,            0.067266,             0.51479,             0.32432,              0.3267,            0.062626,            0.042966,           0.0023976,                   0,            0.067452,           0.0037964,           0.0037964,           0.0037964
                  26,            0.040427,           0.0035447,                   0,            0.082936,              0.3277,             0.75676,             0.31139,            0.058679,            0.043132,           0.0024474,                   0,            0.065069,            0.003506,            0.003506,            0.003506
                  27,            0.041268,           0.0033299,                   0,             0.07012,             0.46504,              0.7027,             0.55295,             0.13864,             0.04299,           0.0022785,                   0,            0.063986,           0.0032357,           0.0032357,           0.0032357
                  28,            0.040439,           0.0032123,                   0,            0.067598,             0.68825,             0.53712,              0.5636,             0.13575,            0.043011,            0.002342,                   0,            0.063706,           0.0029877,           0.0029877,           0.0029877
                  29,            0.040396,           0.0032369,                   0,            0.073472,             0.59735,             0.64865,             0.60575,             0.16654,            0.042911,           0.0023221,                   0,            0.063164,           0.0027639,           0.0027639,           0.0027639
                  30,            0.040324,           0.0032173,                   0,             0.06642,             0.53825,             0.59868,             0.57587,             0.15245,               0.043,           0.0022444,                   0,            0.062779,           0.0025662,           0.0025662,           0.0025662
                  31,            0.040819,           0.0028982,                   0,            0.067832,             0.50417,             0.78378,             0.64727,             0.17723,            0.042941,           0.0021423,                   0,            0.063096,           0.0023961,           0.0023961,           0.0023961
                  32,            0.041066,           0.0030209,                   0,            0.066661,             0.65749,             0.54054,             0.60577,             0.15795,            0.043051,           0.0020533,                   0,            0.063397,           0.0022551,           0.0022551,           0.0022551
                  33,            0.041175,           0.0029813,                   0,            0.064863,             0.65331,             0.59459,             0.63016,              0.1822,            0.043037,           0.0020294,                   0,            0.063162,           0.0021441,           0.0021441,           0.0021441
                  34,            0.040387,           0.0031858,                   0,             0.06411,             0.72404,              0.5673,              0.6218,             0.14769,            0.043002,             0.00208,                   0,            0.063289,           0.0020643,           0.0020643,           0.0020643
                   0,             0.03014,            0.026451,                   0,              6.3521,             0.52157,             0.32412,             0.26835,            0.054266,            0.025831,            0.018343,                   0,               6.001,             0.00065,             0.00065,             0.09415
                   1,            0.024753,            0.017889,                   0,              4.9694,            0.028241,             0.59459,            0.020608,           0.0037244,            0.037969,              3.0508,                   0,               2.267,           0.0013079,           0.0013079,            0.088208
                   2,            0.025482,            0.012331,                   0,               2.033,             0.33262,             0.26943,             0.17214,            0.025692,            0.028996,            0.013181,                   0,             0.23641,           0.0019573,           0.0019573,            0.082257
                   3,            0.034155,           0.0084703,                   0,             0.31453,             0.37717,             0.13514,             0.11341,            0.018081,            0.033003,            0.009197,                   0,             0.31432,           0.0025921,           0.0025921,            0.076292
                   4,            0.037562,           0.0060239,                   0,             0.19378,             0.43435,             0.54054,             0.39319,             0.08755,            0.046349,            0.003522,                   0,             0.18555,           0.0032061,           0.0032061,            0.070306
                   5,            0.042364,           0.0045006,                   0,             0.66239,             0.11572,             0.67568,             0.11915,            0.018471,             0.04581,           0.0036561,                   0,             0.15283,           0.0037935,           0.0037935,            0.064294
                   6,            0.042482,           0.0035064,                   0,             0.15692,             0.28335,             0.45946,             0.25289,            0.078653,            0.045751,           0.0029174,                   0,             0.10178,            0.004349,            0.004349,            0.058249
                   7,            0.039416,            0.004856,                   0,             0.11263,             0.51297,             0.56757,             0.49565,             0.11069,            0.041902,           0.0033724,                   0,            0.064815,           0.0048674,           0.0048674,            0.052167
                   8,            0.039021,           0.0046025,                   0,             0.10145,             0.42431,             0.81081,             0.58272,             0.10754,            0.042343,           0.0029203,                   0,            0.066102,           0.0053443,           0.0053443,            0.046044
                   9,            0.039845,           0.0040776,                   0,            0.071298,             0.44698,             0.62162,             0.48993,             0.12771,            0.043105,            0.002555,                   0,            0.065221,           0.0057756,           0.0057756,            0.039876
                  10,            0.034431,            0.006277,                   0,            0.071105,             0.51731,             0.83784,             0.66794,             0.17789,            0.035307,            0.004486,                   0,            0.065211,           0.0061581,           0.0061581,            0.033658
                  11,            0.033152,           0.0056099,                   0,            0.074021,             0.84501,             0.48649,              0.7026,             0.25385,            0.033811,           0.0048693,                   0,            0.063966,            0.006489,            0.006489,            0.027389
                  12,            0.033337,           0.0058092,                   0,            0.080626,             0.35372,             0.54054,             0.35321,            0.086553,            0.034857,           0.0043286,                   0,            0.064765,           0.0067664,           0.0067664,            0.021066
                  13,            0.033952,           0.0055668,                   0,            0.098109,             0.55126,             0.63097,             0.65091,             0.22412,            0.033987,           0.0045428,                   0,            0.065591,            0.006989,            0.006989,            0.014689
